id,title
50501,Thành phố Quảng Ngãi
50523,Thị xã Đức Phổ
22515,Huyện Ba Chẽ
22507,Huyện Bình Liêu
22523,Huyện Cô Tô
22519,Huyện Hoành Bồ (hết hiệu lực)
22511,Huyện Hải Hà
22513,Huyện Tiên Yên
22517,Huyện Vân Đồn
22527,Huyện Đầm Hà
22501,Thành phố Hạ Long
22509,Thành phố Móng cái
22505,Thành phố Uông Bí
22503,Thị xã Cẩm Phả
22525,Thị xã Quảng Yên
22521,Thị xã Đông Triều
40909,Huyện Cam Lộ
40907,Huyện Gio Linh
40915,Huyện Hướng Hoá
40913,Huyện Hải Lăng
40911,Huyện Triệu Phong
40905,Huyện Vĩnh Linh
40917,Huyện Đa Krông
40919,Huyện Đảo Cồn Cỏ
40903,Thị xã Quảng Trị
40901,Thị xã Đông Hà
81915,Huyện Châu Thành
81906,Huyện Cù Lao Dung
81903,Huyện Kế Sách
81905,Huyện Long Phú
81909,Huyện Mỹ Xuyên
81907,Huyện Mỹ tú
81911,Huyện Thạnh Trị
81917,Huyện Trần Đề
81901,Thành phố Sóc Trăng
81912,Thị Xã Ngã Năm
81913,Thị Xã Vĩnh Châu
30309,Huyện Bắc Yên
30313,Huyện Mai Sơn
30305,Huyện Mường La
30319,Huyện Mộc Châu
30311,Huyện Phù Yên
30303,Huyện Quỳnh Nhai
30315,Huyện Sông Mã
30321,Huyện Sốp Cộp
30307,Huyện Thuận Châu
30323,Huyện Vân Hồ
30317,Huyện Yên Châu
30301,Thành phố Sơn La
70139,Huyện Bình Chánh
70143,Huyện Cần Giờ
70135,Huyện Củ Chi
70137,Huyện Hóc Môn
70141,Huyện Nhà Bè
70101,Quận 1
70119,Quận 10
70121,Quận 11
70123,Quận 12
70103,Quận 2 (Hết hiệu lực)
70105,Quận 3
70107,Quận 4
70109,Quận 5
70111,Quận 6
70113,Quận 7
70115,Quận 8
70117,Quận 9 (Hết hiệu lực)
70129,Quận Bình Thạnh
70134,Quận Bình Tân
70125,Quận Gò Vấp
70131,Quận Phú Nhuận
70133,Quận Thủ Đức (Hết hiệu lực)
70127,Quận Tân Bình
70128,Quận Tân phú
70145,Thành phố Thủ Đức
40113,Huyện Bá Thước
40115,Huyện Cẩm Thuỷ
40143,Huyện Hoằng Hoá
